From;To;Type;Through;x;y;x;y;
89;101;sea;64;1345;2422;1343;2436;
21;119;sea;5;1708;2210;1718;2212;
361;360;sea;129;1415;2534;1421;2543;
494;423;river_large;181;1509;2692;1509;2682;
483;431;river_large;184;1423;2686;1423;2678;
724;725;sea;160;1655;2710;1656;2698;
725;726;sea;160;1655;2691;1647;2684;
765;771;sea;164;1776;2580;1775;2568;
771;772;sea;164;1774;2565;1774;2560;
1158;1160;sea;997;2021;2188;2036;2196;
1146;1145;sea;1008;2143;2107;2142;2090;
1205;1165;sea;999;2077;2231;2078;2219;
1185;1190;sea;1054;2175;2234;2181;2236;
1195;1210;sea;1061;2233;2205;2242;2200;
1210;1211;sea;1061;2256;2185;2260;2180; 
1182;1212;sea;1060;2204;2185;2218;2179;
1212;1213;sea;1078;2224;2160;2229;2147;
1215;1214;sea;1080;2281;2141;2273;2140;
-1;-1;;-1;-1
