LandProvince;SeaZone;x;y;
440;184;1356;2693;
483;186;1416;2688;
504;157;1517;2708;
11;7;1695;2135;
529;158;1597;2711;
410;132;1325;2645;
107;70;1363;2481;
53;54;1345;2285;
97;64;1298;2397;
311;127;1526;2455;
88;65;1367;2403;
78;56;1306;2327;
103;67;1316;2481;
101;64;1336;2439;
50;15;1533;2192;
520;157;1596;2743;
739;161;1690;2629;
765;164;1768;2580;
783;165;1853;2524;
233;142;1812;2364;
21;5;1709;2207;
229;123;1686;2349;
272;124;1636;2394;
345;128;1484;2497;
260;149;1733;2446;
323;154;1595;2588;
214;139;1803;2278;
222;141;1774;2342;
388;155;1524;2647;
26;8;1648;2067;
end;end;-1;-1;
